sample_id	source_path	n_tr_calls	n_unique_tr_sites	n_unique_tr_subtypes	median_change_size_bp	max_change_size_bp	median_alt_support_reads	n_group_a_only	n_group_b_only
SMHT023-3AK-002MC-M57-D001-bcm	/stornext/snfs210/fritz/Yilei/SMaHT/sniffcell/brains/results_new_catalog_sniffcell094/same_catalog_run/SMHT023-3AK-002MC-M57-D001-bcm/deconv/deconv_requested_group_splits/discover/new_catalog_sniffcell094_same_catalog_run_all/harmonized_variants.tsv	1	1	1	96.0	96.0	3.0	0	1
SMHT024-3AK-001A2-M65-B001-broad	/stornext/snfs210/fritz/Yilei/SMaHT/sniffcell/brains/results_new_catalog_sniffcell094/same_catalog_run/SMHT024-3AK-001A2-M65-B001-broad/deconv/deconv_requested_group_splits/discover/new_catalog_sniffcell094_same_catalog_run_all/harmonized_variants.tsv	1	1	1	1569.0	1569.0	8.0	1	0
SMHT024-3AK-001C3-M65-D001-uwsc	/stornext/snfs210/fritz/Yilei/SMaHT/sniffcell/brains/results_new_catalog_sniffcell094/same_catalog_run/SMHT024-3AK-001C3-M65-D001-uwsc/deconv/deconv_requested_group_splits/discover/new_catalog_sniffcell094_same_catalog_run_all/harmonized_variants.tsv	1	1	1	184.0	184.0	13.0	0	1
SMHT027-3AL-002D1-F67-D001-nygc	/stornext/snfs210/fritz/Yilei/SMaHT/sniffcell/brains/results_new_catalog_sniffcell094/same_catalog_run/SMHT027-3AL-002D1-F67-D001-nygc/deconv/deconv_requested_group_splits/discover/new_catalog_sniffcell094_same_catalog_run_all/harmonized_variants.tsv	1	1	1	174.0	174.0	4.0	1	0
SMHT027-3AM-002A2-F67-B001-broad	/stornext/snfs210/fritz/Yilei/SMaHT/sniffcell/brains/results_new_catalog_sniffcell094/same_catalog_run/SMHT027-3AM-002A2-F67-B001-broad/deconv/deconv_requested_group_splits/discover/new_catalog_sniffcell094_same_catalog_run_all/harmonized_variants.tsv	1	1	1	1235.0	1235.0	3.0	0	1
SMHT027-3AM-002C3-F67-D001-nygc	/stornext/snfs210/fritz/Yilei/SMaHT/sniffcell/brains/results_new_catalog_sniffcell094/same_catalog_run/SMHT027-3AM-002C3-F67-D001-nygc/deconv/deconv_requested_group_splits/discover/new_catalog_sniffcell094_same_catalog_run_all/harmonized_variants.tsv	1	1	1	476.0	476.0	3.0	0	1
SMHT031-3AM-002C2-M65-B001-washu	/stornext/snfs210/fritz/Yilei/SMaHT/sniffcell/brains/results_new_catalog_sniffcell094/same_catalog_run/SMHT031-3AM-002C2-M65-B001-washu/deconv/deconv_requested_group_splits/discover/new_catalog_sniffcell094_same_catalog_run_all/harmonized_variants.tsv	1	1	1	336.0	336.0	4.0	1	0
SMHT039-3AK-001A3-M74-B001-washu	/stornext/snfs210/fritz/Yilei/SMaHT/sniffcell/brains/results_new_catalog_sniffcell094/same_catalog_run/SMHT039-3AK-001A3-M74-B001-washu/deconv/deconv_requested_group_splits/discover/new_catalog_sniffcell094_same_catalog_run_all/harmonized_variants.tsv	1	1	1	1610.0	1610.0	20.0	1	0
SMHT039-3AM-001B3-M74-B001-washu	/stornext/snfs210/fritz/Yilei/SMaHT/sniffcell/brains/results_new_catalog_sniffcell094/same_catalog_run/SMHT039-3AM-001B3-M74-B001-washu/deconv/deconv_requested_group_splits/discover/new_catalog_sniffcell094_same_catalog_run_all/harmonized_variants.tsv	1	1	1	64.0	64.0	6.0	0	1
SMHT040-3AM-001C1-F89-D001-bcm	/stornext/snfs210/fritz/Yilei/SMaHT/sniffcell/brains/results_new_catalog_sniffcell094/same_catalog_run/SMHT040-3AM-001C1-F89-D001-bcm/deconv/deconv_requested_group_splits/discover/new_catalog_sniffcell094_same_catalog_run_all/harmonized_variants.tsv	1	1	1	104.0	104.0	16.0	1	0
